Tokens de algoritmo1.dart:
LexToken(IMPORT,'import',7,238)
LexToken(LPAREN,'(',54,1634)
LexToken(ID,'e',54,1635)
LexToken(RPAREN,')',54,1636)
LexToken(LBRACE,'{',54,1638)
LexToken(PRINT,'print',55,1644)
LexToken(LPAREN,'(',55,1649)
LexToken(STRING_LITERAL,[('str', 'Error de entrada: '), ('var', 'e'), ('str', '')],55,1650)
LexToken(RPAREN,')',55,1672)
LexToken(SEMICOLON,';',55,1673)
LexToken(RBRACE,'}',56,1677)
LexToken(RBRACE,'}',58,1680)
