Tokens de algoritmo1.dart:
LexToken(IMPORT,'import',7,238)
LexToken(LPAREN,'(',45,1623)
LexToken(ID,'e',45,1624)
LexToken(RPAREN,')',45,1625)
LexToken(LBRACE,'{',45,1627)
LexToken(PRINT,'print',46,1633)
LexToken(LPAREN,'(',46,1638)
LexToken(STRING_LITERAL,[('str', 'Error de entrada: '), ('var', 'e'), ('str', '')],46,1639)
LexToken(RPAREN,')',46,1661)
LexToken(SEMICOLON,';',46,1662)
LexToken(RBRACE,'}',47,1666)
LexToken(RBRACE,'}',49,1669)
