Tokens de algoritmo1.dart:
LexToken(IMPORT,'import',7,238)
LexToken(LPAREN,'(',55,1635)
LexToken(ID,'e',55,1636)
LexToken(RPAREN,')',55,1637)
LexToken(LBRACE,'{',55,1639)
LexToken(PRINT,'print',56,1645)
LexToken(LPAREN,'(',56,1650)
LexToken(STRING_LITERAL,[('str', 'Error de entrada: '), ('var', 'e'), ('str', '')],56,1651)
LexToken(RPAREN,')',56,1673)
LexToken(SEMICOLON,';',56,1674)
LexToken(RBRACE,'}',57,1678)
LexToken(RBRACE,'}',59,1681)
